Time(Hours);EntityID;ObjectName;ProcessID;StepName;Action
0.0132837006960742;DefaultEntity.212;Output@Source1;3.OnEnteredFromAssociatedObject;[Begin];Process 'Output@Source1.OnEnteredFromAssociatedObject' execution started.
0.0132837006960742;DefaultEntity.212;Output@Source1;3.OnEnteredFromAssociatedObject;[Fire] EnteredEvent;Firing event 'Output@Source1.Entered'.
0.0132837006960742;DefaultEntity.212;Output@Source1;3.OnEnteredFromAssociatedObject;[Execute] EnteredAddOnProcess;Executing process 'cambioImagen'.
0.0132837006960742;DefaultEntity.212;Model;5.cambioImagen;[Begin];Process 'cambioImagen' execution started.
0.0132837006960742;DefaultEntity.212;Model;5.cambioImagen;[Assign] Assign1;Assigning state variable 'DefaultEntity.212.Picture' the value '0'. Previous value was '0'.
0.0132837006960742;DefaultEntity.212;Model;5.cambioImagen;[End];Process 'cambioImagen' execution ended.
0.0132837006960742;DefaultEntity.212;Output@Source1;3.OnEnteredFromAssociatedObject;[Transfer] ToOutboundLink;Entity 'DefaultEntity.212' transferring from '[Node] Output@Source1' onto link 'Path22'.
0.0132837006960742;DefaultEntity.212;Path22;5.OnEntered;[Begin];Process 'Path22.OnEntered' execution started.
0.0132837006960742;DefaultEntity.212;Path22;5.OnEntered;[Assign] EntityMovementRate;Assigning state variable 'DefaultEntity.212.Movement.Rate' the value '5040' Meters per Hour. Previous value was '5040' Meters per Hour.
0.0132837006960742;DefaultEntity.212;Path22;5.OnEntered;[EndTransfer] OntoPath;Entity 'DefaultEntity.212' ending transfer onto link 'Path22'.
0.0132837006960742;DefaultEntity.212;Path22;5.OnEntered;[End];Process 'Path22.OnEntered' execution ended.
0.0132837006960742;DefaultEntity.212;Source1;4.OnEnteredProcessing;[End];Process 'Source1.OnEnteredProcessing' execution ended.
0.0132837006960742;DefaultEntity.212;Source1;2.OnEnteredOutputBuffer;[End];Process 'Source1.OnEnteredOutputBuffer' execution ended.
0.0132837006960742;DefaultEntity.212;Output@Source1;3.OnEnteredFromAssociatedObject;[End];Process 'Output@Source1.OnEnteredFromAssociatedObject' execution ended.
0.0134022156048626;DefaultEntity.211;Output@Source1;3.OnExited;[Begin];Process 'Output@Source1.OnExited' execution started.
0.0134022156048626;DefaultEntity.211;Output@Source1;3.OnExited;[Fire] ExitedEvent;Firing event 'Output@Source1.Exited'.
0.0134022156048626;DefaultEntity.211;Output@Source1;3.OnExited;[End];Process 'Output@Source1.OnExited' execution ended.
0.0134022156048626;DefaultEntity.211;Path19;3.OnTrailingEdgeEntered;[Begin];Process 'Path19.OnTrailingEdgeEntered' execution started.
0.0134022156048626;DefaultEntity.211;Path19;3.OnTrailingEdgeEntered;[EndTransfer] OntoPath;Entity 'DefaultEntity.211' ending transfer onto link 'Path19'.
0.0134022156048626;DefaultEntity.211;Path19;3.OnTrailingEdgeEntered;[End];Process 'Path19.OnTrailingEdgeEntered' execution ended.
0.0134022156048626;DefaultEntity.211;Source1;1.OnEnteredOutputBuffer;[End];Process 'Source1.OnEnteredOutputBuffer' execution ended.
0.0134022156048626;DefaultEntity.211;Output@Source1;0.OnEnteredFromAssociatedObject;[End];Process 'Output@Source1.OnEnteredFromAssociatedObject' execution ended.
0.0136171126512086;DefaultEntity.212;Output@Source1;0.OnExited;[Begin];Process 'Output@Source1.OnExited' execution started.
0.0136171126512086;DefaultEntity.212;Output@Source1;0.OnExited;[Fire] ExitedEvent;Firing event 'Output@Source1.Exited'.
0.0136171126512086;DefaultEntity.212;Output@Source1;0.OnExited;[End];Process 'Output@Source1.OnExited' execution ended.
0.013967321266915;--;--;--;--;Firing event 'Source1.EntityArrivals.Event'.
0.013967321266915;--;--;--;--;Time until next event of timer 'Source1.EntityArrivals' is '0.00161596853553997' Hours.
0.013967321266915;Source1;Source1;0.OnEntityArrival;[Begin];Process 'Source1.OnEntityArrival' execution started.
0.013967321266915;Source1;Source1;0.OnEntityArrival;[Create] Entities;Creating '1' new object(s) of entity type 'DefaultEntity'.
0.013967321266915;Source1;Source1;0.OnEntityArrival;[Create] Entities;Created object 'DefaultEntity.213'.
0.013967321266915;DefaultEntity.213;Source1;1.OnEntityArrival;[Transfer] ToProcessing;Entity 'DefaultEntity.213' transferring from '[FreeSpace] Source1' into station 'Source1.Processing'.
0.013967321266915;Source1;Source1;0.OnEntityArrival;[End];Process 'Source1.OnEntityArrival' execution ended.
0.013967321266915;DefaultEntity.213;Source1;3.OnEnteredProcessing;[Begin];Process 'Source1.OnEnteredProcessing' execution started.
0.013967321266915;DefaultEntity.213;Source1;3.OnEnteredProcessing;[EndTransfer] IntoProcessing;Entity 'DefaultEntity.213' ending transfer into station 'Source1.Processing'.
0.013967321266915;DefaultEntity.213;Source1;3.OnEnteredProcessing;[Transfer] ToOutputBuffer;Entity 'DefaultEntity.213' transferring from '[Station] Source1.Processing' into station 'Source1.OutputBuffer'.
0.013967321266915;DefaultEntity.213;Source1;1.OnEntityArrival;[End];Process 'Source1.OnEntityArrival' execution ended.
0.013967321266915;DefaultEntity.213;Source1;0.OnEnteredOutputBuffer;[Begin];Process 'Source1.OnEnteredOutputBuffer' execution started.
0.013967321266915;DefaultEntity.213;Source1;0.OnEnteredOutputBuffer;[EndTransfer] IntoOutputBuffer;Entity 'DefaultEntity.213' ending transfer into station 'Source1.OutputBuffer'.
0.013967321266915;DefaultEntity.213;Source1;0.OnEnteredOutputBuffer;[Assign] BeforeExitingAssignments;Assigning state variable 'DefaultEntity.213.Priority' the value '1'. Previous value was '1'.
0.013967321266915;DefaultEntity.213;Source1;0.OnEnteredOutputBuffer;[Transfer] ToOutputNode;Entity 'DefaultEntity.213' transferring from '[Station] Source1.OutputBuffer' into node 'Output@Source1'.
0.013967321266915;DefaultEntity.213;Output@Source1;1.OnEnteredFromAssociatedObject;[Begin];Process 'Output@Source1.OnEnteredFromAssociatedObject' execution started.
0.013967321266915;DefaultEntity.213;Output@Source1;1.OnEnteredFromAssociatedObject;[Fire] EnteredEvent;Firing event 'Output@Source1.Entered'.
0.013967321266915;DefaultEntity.213;Output@Source1;1.OnEnteredFromAssociatedObject;[Execute] EnteredAddOnProcess;Executing process 'cambioImagen'.
0.013967321266915;DefaultEntity.213;Model;2.cambioImagen;[Begin];Process 'cambioImagen' execution started.
0.013967321266915;DefaultEntity.213;Model;2.cambioImagen;[Assign] Assign1;Assigning state variable 'DefaultEntity.213.Picture' the value '1'. Previous value was '0'.
0.013967321266915;DefaultEntity.213;Model;2.cambioImagen;[End];Process 'cambioImagen' execution ended.
0.013967321266915;DefaultEntity.213;Output@Source1;1.OnEnteredFromAssociatedObject;[Transfer] ToOutboundLink;Entity 'DefaultEntity.213' transferring from '[Node] Output@Source1' onto link 'Path22'.
0.013967321266915;DefaultEntity.213;Path22;2.OnEntered;[Begin];Process 'Path22.OnEntered' execution started.
0.013967321266915;DefaultEntity.213;Path22;2.OnEntered;[Assign] EntityMovementRate;Assigning state variable 'DefaultEntity.213.Movement.Rate' the value '5040' Meters per Hour. Previous value was '5040' Meters per Hour.
0.013967321266915;DefaultEntity.213;Path22;2.OnEntered;[EndTransfer] OntoPath;Entity 'DefaultEntity.213' ending transfer onto link 'Path22'.
0.013967321266915;DefaultEntity.213;Path22;2.OnEntered;[End];Process 'Path22.OnEntered' execution ended.
0.013967321266915;DefaultEntity.213;Source1;3.OnEnteredProcessing;[End];Process 'Source1.OnEnteredProcessing' execution ended.
0.013967321266915;DefaultEntity.213;Source1;0.OnEnteredOutputBuffer;[End];Process 'Source1.OnEnteredOutputBuffer' execution ended.
0.013967321266915;DefaultEntity.213;Output@Source1;1.OnEnteredFromAssociatedObject;[End];Process 'Output@Source1.OnEnteredFromAssociatedObject' execution ended.
0.0143983933065937;DefaultEntity.213;Output@Source1;1.OnExited;[Begin];Process 'Output@Source1.OnExited' execution started.
0.0143983933065937;DefaultEntity.213;Output@Source1;1.OnExited;[Fire] ExitedEvent;Firing event 'Output@Source1.Exited'.
